Question,Answer
I started on a steamboat and became a worldwide icon. Who am I?,Mickey
Two round ears make my silhouette easy to spot. Who am I?,Mickey
I wear white gloves and often lead the clubhouse. Who am I?,Mickey
I've been Disney's mascot for nearly a century. Who am I?,Mickey
I love polka dots and big bows. Who am I?,Minnie
I'm Mickey's longtime sweetheart. Who am I?,Minnie
My fashion sense is famous throughout Disney. Who am I?,Minnie
I often wear red and white and spread kindness everywhere. Who am I?,Minnie
My temper gets me into trouble. Who am I?,Donald
I speak with a voice many people struggle to imitate. Who am I?,Donald
I'm a sailor with a blue outfit and cap. Who am I?,Donald
I have three mischievous nephews. Who am I?,Donald
"I trip, stumble, and somehow make it work. Who am I?",Goofy
"I'm tall, friendly, and a little clumsy. Who am I?",Goofy
A green hat is part of my signature look. Who am I?,Goofy
"Despite my mistakes, I'm a loyal friend. Who am I?",Goofy
I bark instead of talk. Who am I?,Pluto
I'm Mickey's faithful pet. Who am I?,Pluto
My long ears and wagging tail are easy to recognize. Who am I?,Pluto
I'm one of Disney's most famous dogs. Who am I?,Pluto
I can create ice and snow with my hands. Who am I?,Elsa
I built a palace out of ice. Who am I?,Elsa
I learned to let go of fear. Who am I?,Elsa
I'm the Snow Queen of Arendelle. Who am I?,Elsa
I crossed frozen lands to save my sister. Who am I?,Anna
Optimism is one of my greatest strengths. Who am I?,Anna
True love took an unexpected form in my story. Who am I?,Anna
I'm the younger princess of Arendelle. Who am I?,Anna
Warm hugs are my specialty. Who am I?,Olaf
I'm a snowman who dreams of summer. Who am I?,Olaf
A carrot sits in the middle of my face. Who am I?,Olaf
I was brought to life by magic. Who am I?,Olaf
I became king after a long journey. Who am I?,Simba
Hakuna Matata helped shape my life. Who am I?,Simba
I am the son of Mufasa. Who am I?,Simba
I returned to Pride Rock to face my past. Who am I?,Simba
I ruled from Pride Rock. Who am I?,Mufasa
The stars helped me guide my son. Who am I?,Mufasa
Wisdom was one of my greatest strengths. Who am I?,Mufasa
I was Simba's father. Who am I?,Mufasa
I envied my brother's throne. Who am I?,Scar
A scar across my face matches my name. Who am I?,Scar
I caused a tragic stampede. Who am I?,Scar
I became king through betrayal. Who am I?,Scar
Hakuna Matata is my motto. Who am I?,Timon
I'm a meerkat with a carefree attitude. Who am I?,Timon
I helped raise a lion cub. Who am I?,Timon
Pumbaa is my best friend. Who am I?,Timon
I'm a warthog with a big heart. Who am I?,Pumbaa
People often mention my smell. Who am I?,Pumbaa
I live by Hakuna Matata. Who am I?,Pumbaa
Timon is my closest friend. Who am I?,Pumbaa
I found a magic lamp. Who am I?,Aladdin
I once pretended to be a prince. Who am I?,Aladdin
I lived on the streets of Agrabah. Who am I?,Aladdin
A flying carpet helped me on adventures. Who am I?,Aladdin
I wanted freedom beyond palace walls. Who am I?,Jasmine
Rajah is my tiger companion. Who am I?,Jasmine
I'm a princess of Agrabah. Who am I?,Jasmine
I fell in love with a street thief. Who am I?,Jasmine
I grant wishes from inside a lamp. Who am I?,Genie
Blue is my usual color. Who am I?,Genie
Phenomenal cosmic powers are mine. Who am I?,Genie
I helped Aladdin change his life. Who am I?,Genie
I dreamed of life on land. Who am I?,Ariel
I traded my voice for a chance at love. Who am I?,Ariel
I'm a mermaid princess. Who am I?,Ariel
Treasure hunting beneath the sea is one of my hobbies. Who am I?,Ariel
I make deals beneath the sea. Who am I?,Ursula
I stole a mermaid's voice. Who am I?,Ursula
Tentacles help me swim through the ocean depths. Who am I?,Ursula
I'm the sea witch. Who am I?,Ursula
Books are among my favorite things. Who am I?,Belle
I saw goodness where others saw a monster. Who am I?,Belle
An enchanted castle became my home. Who am I?,Belle
Beauty is part of my tale's title. Who am I?,Belle
A curse changed my appearance. Who am I?,Beast
A magical rose measured my time. Who am I?,Beast
Love broke my enchantment. Who am I?,Beast
I lived in an enchanted castle. Who am I?,Beast
A glass slipper changed my future. Who am I?,Cinderella
I went to the ball with magical help. Who am I?,Cinderella
Midnight was an important deadline for me. Who am I?,Cinderella
I rose from servant to princess. Who am I?,Cinderella
Seven dwarfs became my friends. Who am I?,Snow White
A poisoned apple put me to sleep. Who am I?,Snow White
I was Disney's first animated princess. Who am I?,Snow White
My skin was named after snow. Who am I?,Snow White
A spinning wheel changed my fate. Who am I?,Aurora
I slept under a powerful curse. Who am I?,Aurora
Three fairies watched over me. Who am I?,Aurora
I'm also known as Sleeping Beauty. Who am I?,Aurora
I cursed a princess at her christening. Who am I?,Maleficent
I can transform into a dragon. Who am I?,Maleficent
Black horns are part of my appearance. Who am I?,Maleficent
Not receiving an invitation made me furious. Who am I?,Maleficent
I took my father's place in the army. Who am I?,Mulan
Honor guided my choices. Who am I?,Mulan
I disguised myself as a man. Who am I?,Mulan
I saved China. Who am I?,Mulan
I'm a tiny dragon with a huge personality. Who am I?,Mushu
I helped Mulan on her journey. Who am I?,Mushu
Fire and jokes follow me everywhere. Who am I?,Mushu
Size never stopped me from helping a hero. Who am I?,Mushu
I listened to the colors of the wind. Who am I?,Pocahontas
Nature guided my decisions. Who am I?,Pocahontas
I helped bridge two worlds. Who am I?,Pocahontas
A talking willow gave me advice. Who am I?,Pocahontas
The ocean chose me. Who am I?,Moana
I sailed beyond the reef. Who am I?,Moana
I restored the heart of Te Fiti. Who am I?,Moana
Wayfinding is in my blood. Who am I?,Moana
You're welcome! Who am I?,Maui
I carry a magical fishhook. Who am I?,Maui
My tattoos tell stories about me. Who am I?,Maui
I am a demigod. Who am I?,Maui
I dreamed of owning a restaurant. Who am I?,Tiana
Hard work defines me. Who am I?,Tiana
A frog changed my life. Who am I?,Tiana
I'm a princess from New Orleans. Who am I?,Tiana
I was Experiment 626. Who am I?,Stitch
Ohana means family to me. Who am I?,Stitch
I was created to cause chaos. Who am I?,Stitch
Blue fur covers my small body. Who am I?,Stitch
I adopted what I thought was a dog. Who am I?,Lilo
Elvis music is one of my favorites. Who am I?,Lilo
Family means everything to me. Who am I?,Lilo
I live in Hawaii. Who am I?,Lilo
I never wanted to grow up. Who am I?,Peter Pan
Neverland is my home. Who am I?,Peter Pan
I can fly with happy thoughts. Who am I?,Peter Pan
I often battle Captain Hook. Who am I?,Peter Pan
Pixie dust helps others fly. Who am I?,Tinker Bell
I communicate mostly through gestures. Who am I?,Tinker Bell
I'm a tiny fairy with a big attitude. Who am I?,Tinker Bell
Peter Pan is one of my closest friends. Who am I?,Tinker Bell
A crocodile scares me. Who am I?,Captain Hook
One of my hands is a hook. Who am I?,Captain Hook
I captain a pirate ship. Who am I?,Captain Hook
Peter Pan is my rival. Who am I?,Captain Hook
My ears helped me fly. Who am I?,Dumbo
People underestimated me at first. Who am I?,Dumbo
I'm a circus elephant. Who am I?,Dumbo
A feather gave me confidence. Who am I?,Dumbo
I grew up in the forest. Who am I?,Bambi
I became the Great Prince. Who am I?,Bambi
Thumper is one of my friends. Who am I?,Bambi
I learned difficult lessons about life. Who am I?,Bambi
I wanted to become a real boy. Who am I?,Pinocchio
My nose reveals when I lie. Who am I?,Pinocchio
A blue fairy changed my fate. Who am I?,Pinocchio
I started life as a puppet. Who am I?,Pinocchio
I served as a conscience. Who am I?,Jiminy Cricket
I tried to guide Pinocchio. Who am I?,Jiminy Cricket
Advice is my specialty. Who am I?,Jiminy Cricket
I'm a very famous cricket. Who am I?,Jiminy Cricket
Honey is my favorite treat. Who am I?,Winnie the Pooh
I live in the Hundred Acre Wood. Who am I?,Winnie the Pooh
I'm a bear of very little brain. Who am I?,Winnie the Pooh
Christopher Robin is my friend. Who am I?,Winnie the Pooh
Bouncing is what I do best. Who am I?,Tigger
I have stripes and endless energy. Who am I?,Tigger
Nobody bounces like me. Who am I?,Tigger
The wonderful thing about me is me! Who am I?,Tigger
Fashion is my obsession. Who am I?,Cruella de Vil
Black and white hair defines my look. Who am I?,Cruella de Vil
Dalmatians caught my attention for the wrong reasons. Who am I?,Cruella de Vil
I'm one of Disney's most notorious villains. Who am I?,Cruella de Vil
Ka-chow! Who am I?,Lightning McQueen
I started as a self-centered race car. Who am I?,Lightning McQueen
